,average_stars,review_count,compliment_cool,compliment_cute,compliment_funny,compliment_hot,compliment_list,compliment_more,compliment_note,compliment_photos,compliment_plain,cool,fans,funny,rev_length,rev_stars,rev_use,friend_count,friend_label,rev_count_label,buss_star,buss_review,alpha_length,length_lemmatize,NN,NNP,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,Faker
0,4.67,8,0,0,0,0,0,0,0,0,1,0,0,0,520,5,3,9,1,1,4.0,217.0,98,46,22,0.0,3.0,0.0,1.0,8.0,3.0,8.0,0.0,0.0,0.0,5.0,5.0,0.0,4.0,1.0,3.0,1.0,0.0,1.0,1
1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,823,1,2,0,0,0,4.0,1694.0,139,72,30,0.0,8.0,0.0,0.0,5.0,9.0,9.0,0.0,0.0,0.0,7.0,11.0,1.0,4.0,3.0,1.0,1.0,0.0,1.0,1
2,1.67,2,0,0,0,0,0,0,0,0,0,0,0,0,240,3,1,0,0,1,2.0,180.0,46,18,10,0.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1
3,3.0,2,0,0,0,0,0,0,0,0,0,1,0,0,174,4,0,0,0,1,3.0,70.0,35,18,6,0.0,3.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
4,3.73,48,1,0,1,2,0,0,1,0,1,2,3,6,1511,3,0,261,3,2,4.5,145.0,279,137,55,0.0,9.0,0.0,0.0,13.0,4.0,17.0,1.0,0.0,0.0,14.0,15.0,3.0,10.0,6.0,16.0,1.0,2.0,1.0,1
5,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,47,5,0,0,0,0,3.5,85.0,9,7,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
6,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,439,5,0,0,0,0,4.0,106.0,88,38,17,0.0,2.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0,6.0,9.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1
7,5.0,2,0,0,0,0,0,0,0,0,0,0,0,0,305,5,0,0,0,1,3.5,49.0,56,27,10,0.0,6.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1
8,3.96,50,7,0,7,2,0,4,9,0,7,5,1,12,873,5,3,98,2,2,4.0,3.0,163,78,37,0.0,9.0,1.0,0.0,13.0,5.0,8.0,0.0,0.0,1.0,8.0,12.0,3.0,3.0,5.0,4.0,0.0,0.0,3.0,1
9,2.0,3,0,0,0,0,0,0,0,0,0,0,0,0,295,4,0,0,0,1,3.5,34.0,58,24,7,0.0,2.0,0.0,0.0,7.0,1.0,5.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1
10,3.3,62,1,0,1,0,0,1,1,0,0,0,2,0,152,1,7,0,0,3,4.0,142.0,27,17,4,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1
11,5.0,2,0,0,0,0,0,0,0,0,0,0,0,0,353,5,3,0,0,1,4.0,820.0,65,28,13,0.0,1.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,1.0,2.0,6.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1
12,4.0,4,0,0,0,0,0,0,0,0,0,0,0,0,863,5,0,0,0,1,5.0,227.0,153,76,30,0.0,6.0,0.0,0.0,11.0,9.0,13.0,0.0,0.0,0.0,8.0,17.0,1.0,2.0,3.0,3.0,1.0,0.0,1.0,1
13,4.0,6,0,0,0,0,0,0,0,0,0,0,0,0,251,5,0,0,0,1,4.5,132.0,48,22,9,0.0,2.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1
14,3.71,7,0,0,0,0,0,0,0,0,0,0,0,0,389,3,0,0,0,1,2.0,11.0,69,33,17,0.0,3.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
15,4.17,6,0,0,0,0,0,0,0,0,0,0,0,0,1820,4,1,0,0,1,4.5,73.0,350,151,67,0.0,13.0,0.0,0.0,20.0,10.0,38.0,0.0,0.0,1.0,19.0,31.0,8.0,4.0,8.0,3.0,0.0,1.0,0.0,1
16,2.86,7,0,0,0,0,0,0,0,0,0,0,0,0,1690,1,1,0,0,1,3.5,83.0,326,165,66,0.0,19.0,0.0,0.0,6.0,10.0,28.0,1.0,0.0,2.0,12.0,25.0,5.0,7.0,13.0,2.0,2.0,0.0,3.0,1
17,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,768,1,0,0,0,0,4.5,179.0,147,60,25,0.0,5.0,0.0,0.0,11.0,2.0,15.0,3.0,0.0,0.0,8.0,0.0,1.0,9.0,10.0,6.0,0.0,0.0,4.0,1
18,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,861,5,0,0,0,0,3.0,14.0,160,76,23,0.0,12.0,0.0,0.0,11.0,2.0,18.0,2.0,1.0,0.0,7.0,19.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,1
19,4.13,21,0,0,0,0,0,0,0,0,0,0,0,0,261,4,0,0,0,2,2.5,18.0,43,27,9,0.0,3.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1
20,2.39,19,0,0,0,0,0,0,0,0,0,0,0,0,186,1,2,0,0,1,5.0,3.0,34,18,8,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
21,3.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1528,1,2,0,0,1,4.0,242.0,277,134,51,0.0,9.0,0.0,0.0,19.0,5.0,26.0,0.0,1.0,1.0,9.0,31.0,5.0,9.0,2.0,1.0,0.0,0.0,2.0,1
22,2.65,14,0,0,0,0,0,0,1,0,0,2,0,3,415,1,1,0,0,1,3.5,213.0,67,34,14,0.0,2.0,0.0,1.0,3.0,2.0,11.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,1
23,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,223,5,0,118,3,0,1.0,10.0,47,22,8,0.0,2.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,1
24,4.27,34,8,0,8,2,0,0,4,10,5,15,9,9,468,5,1,330,3,2,4.0,158.0,80,42,20,0.0,4.0,1.0,1.0,4.0,3.0,5.0,1.0,0.0,0.0,4.0,11.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1
25,2.0,6,0,0,0,0,0,0,0,0,0,0,0,0,153,3,0,0,0,1,4.5,829.0,29,17,8,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1
26,3.19,16,0,0,0,0,0,0,0,0,0,0,0,0,319,5,0,0,0,1,4.5,116.0,50,27,15,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1
27,3.81,24,0,0,0,0,0,0,0,0,1,0,0,2,267,5,0,0,0,2,4.5,262.0,51,29,11,0.0,3.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1
28,1.0,5,0,0,0,0,0,0,0,0,0,0,0,0,1537,1,5,0,0,1,3.0,44.0,281,135,69,0.0,14.0,0.0,1.0,13.0,5.0,12.0,1.0,0.0,0.0,13.0,22.0,5.0,4.0,9.0,2.0,0.0,1.0,1.0,1
29,3.0,2,0,0,0,0,0,0,0,0,0,0,0,0,468,1,3,0,0,1,4.0,9.0,82,40,17,0.0,3.0,0.0,0.0,3.0,4.0,10.0,0.0,0.0,0.0,3.0,0.0,2.0,4.0,3.0,3.0,1.0,0.0,1.0,1
30,5.0,3,0,0,0,0,0,0,0,0,0,0,0,0,562,5,0,0,0,1,4.0,142.0,100,46,14,0.0,6.0,0.0,0.0,4.0,2.0,12.0,0.0,0.0,1.0,4.0,7.0,1.0,2.0,5.0,3.0,0.0,0.0,0.0,1
31,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,727,5,0,0,0,0,4.0,87.0,121,61,25,0.0,7.0,0.0,0.0,3.0,2.0,11.0,0.0,0.0,2.0,5.0,8.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1
32,5.0,2,0,0,0,0,0,0,0,0,0,0,0,0,238,5,0,0,0,1,3.5,55.0,37,20,9,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1
33,3.0,3,0,0,0,0,0,0,0,0,0,0,0,0,1636,1,0,0,0,1,2.0,15.0,306,126,52,0.0,6.0,0.0,0.0,20.0,8.0,21.0,0.0,0.0,5.0,14.0,27.0,8.0,12.0,2.0,4.0,2.0,4.0,0.0,1
34,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,248,5,0,0,0,0,3.5,397.0,45,22,7,0.0,4.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1
35,2.95,20,0,0,0,0,0,0,0,0,1,0,2,0,418,3,7,0,0,1,4.5,1267.0,83,31,16,0.0,2.0,0.0,0.0,2.0,2.0,13.0,0.0,0.0,0.0,3.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1
36,4.3,27,2,0,2,2,0,0,1,3,2,4,3,6,577,5,3,82,2,2,2.5,27.0,116,55,29,0.0,1.0,0.0,1.0,7.0,2.0,7.0,0.0,0.0,0.0,4.0,8.0,2.0,2.0,4.0,1.0,0.0,1.0,0.0,1
37,2.25,4,0,0,0,0,0,0,0,0,0,0,0,0,836,1,1,0,0,1,4.0,100.0,146,71,38,0.0,5.0,0.0,0.0,2.0,4.0,10.0,0.0,0.0,0.0,8.0,10.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,1
38,4.2,5,0,0,0,0,0,0,0,0,0,0,0,0,389,5,0,0,0,1,4.5,84.0,64,36,14,0.0,1.0,0.0,0.0,5.0,3.0,5.0,0.0,0.0,0.0,5.0,3.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,1
39,4.71,7,0,0,0,0,0,0,1,0,1,0,77,0,414,5,0,0,0,1,5.0,203.0,77,37,20,0.0,2.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,1.0,7.0,4.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1
40,5.0,1,0,0,0,0,0,0,0,0,1,0,0,0,660,5,0,208,3,0,2.5,91.0,124,51,20,0.0,6.0,1.0,0.0,7.0,6.0,8.0,0.0,0.0,0.0,6.0,6.0,1.0,3.0,3.0,5.0,1.0,1.0,0.0,1
41,4.93,14,1,0,1,3,0,1,0,0,2,1,13,0,324,4,1,428,3,1,5.0,3.0,65,30,13,0.0,2.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,2.0,6.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1
42,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,805,2,0,0,0,0,4.0,967.0,140,70,28,0.0,6.0,0.0,0.0,2.0,5.0,19.0,0.0,0.0,0.0,9.0,5.0,1.0,3.0,8.0,8.0,0.0,0.0,0.0,1
43,1.5,2,0,0,0,0,0,0,0,0,0,0,0,0,1720,2,0,0,0,1,5.0,7.0,322,156,64,0.0,11.0,0.0,0.0,26.0,11.0,25.0,0.0,0.0,2.0,7.0,43.0,10.0,6.0,3.0,2.0,5.0,2.0,0.0,1
44,2.63,7,0,0,0,0,0,0,0,0,1,0,1,0,563,5,0,0,0,1,4.0,251.0,102,48,22,0.0,7.0,0.0,0.0,7.0,6.0,5.0,0.0,1.0,0.0,7.0,7.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1
45,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,745,1,0,0,0,1,4.5,79.0,133,69,31,0.0,2.0,0.0,2.0,3.0,6.0,10.0,0.0,0.0,0.0,7.0,9.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,1
46,2.25,4,0,0,0,0,0,0,0,0,0,0,0,0,459,1,0,0,0,1,5.0,6.0,90,39,19,0.0,3.0,0.0,0.0,5.0,2.0,6.0,1.0,0.0,3.0,5.0,10.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,1
47,3.14,11,0,0,0,0,0,0,0,0,0,0,1,2,175,5,0,0,0,1,4.5,88.0,28,15,8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
48,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,194,5,0,0,0,0,2.5,166.0,41,19,5,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1
49,3.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1595,1,0,0,0,1,4.0,177.0,322,128,47,2.0,8.0,0.0,0.0,25.0,10.0,25.0,0.0,0.0,3.0,19.0,35.0,3.0,4.0,15.0,8.0,3.0,2.0,1.0,1
50,4.0,22,3,0,3,1,0,0,0,2,6,0,0,1,636,5,0,183,3,2,4.0,203.0,119,61,29,0.0,3.0,0.0,1.0,4.0,0.0,13.0,1.0,0.0,0.0,2.0,11.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,1
51,5.0,3,0,0,0,0,0,0,0,0,0,0,0,0,119,5,0,0,0,1,4.5,80.0,23,13,6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1
52,4.11,47,0,0,0,0,0,0,0,0,0,1,0,0,329,3,0,0,0,2,4.0,1048.0,60,31,10,0.0,3.0,0.0,0.0,6.0,1.0,7.0,1.0,0.0,0.0,2.0,7.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1
53,3.86,7,0,0,0,0,0,0,1,0,0,0,0,0,272,5,0,0,0,1,3.5,59.0,52,23,11,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1
54,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1157,1,4,0,0,0,4.0,31.0,225,102,44,0.0,8.0,0.0,1.0,12.0,8.0,22.0,0.0,0.0,0.0,12.0,24.0,2.0,7.0,8.0,3.0,1.0,4.0,4.0,1
55,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,630,5,1,0,0,0,3.5,90.0,122,56,22,0.0,2.0,0.0,0.0,7.0,3.0,14.0,0.0,0.0,1.0,10.0,10.0,2.0,1.0,4.0,2.0,0.0,1.0,2.0,1
56,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,191,1,0,0,0,0,3.5,42.0,36,15,7,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
57,3.0,2,0,0,0,0,0,0,0,0,0,0,0,0,586,5,0,30,1,1,3.0,5.0,106,50,19,0.0,5.0,0.0,0.0,9.0,3.0,11.0,0.0,0.0,0.0,5.0,11.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,1
58,4.31,13,0,0,0,0,0,0,0,0,0,0,0,0,136,5,1,0,0,1,4.5,264.0,25,14,2,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
59,1.57,5,0,0,0,0,0,0,1,0,0,0,0,0,213,1,0,0,0,1,4.0,82.0,34,17,5,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1
60,5.0,1,0,0,0,0,0,0,0,0,0,0,0,1,521,5,0,0,0,0,4.5,57.0,93,47,11,0.0,5.0,0.0,0.0,5.0,4.0,8.0,1.0,0.0,1.0,6.0,9.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,1
61,3.65,19,2,0,2,0,0,1,0,0,0,1,4,0,561,3,2,228,3,1,3.0,20.0,98,52,19,0.0,6.0,0.0,0.0,3.0,3.0,9.0,0.0,0.0,0.0,6.0,7.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,1
62,3.91,11,0,0,0,0,0,0,0,0,0,0,0,0,1119,5,1,0,0,1,4.5,113.0,203,100,41,0.0,6.0,0.0,0.0,13.0,5.0,12.0,1.0,0.0,1.0,9.0,19.0,2.0,7.0,4.0,3.0,0.0,1.0,0.0,1
63,3.0,2,0,0,0,0,0,0,0,0,0,0,0,0,166,5,1,0,0,1,4.5,6.0,27,15,8,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
